Position (mm),Current (A)
-4.964,-2.3208922463301973
-4.006,-2.3204104555014418
-2.993,-2.3209588692952807
-2.008,-2.3203613797185962
-1.003,-2.3204881158880943
-0.015,-2.320107305242631
0.984,-2.3202323048927647
1.981,-2.3207256670865872
2.977,-2.3203506405753713
3.971,-2.3203815483956998
4.971,-2.3207514099322895
